machine,jobs_processed,avg_wait_hours,max_wait_hours,avg_total_time_hours,simulated_busy_hours,simulated_utilization_pct,historical_utilization_pct
Wenzel WGT350,2397,0.397,8.996,0.893,1191.235,55.15,62.93
Wenzel WGT400,2345,0.382,10.147,0.886,1180.334,54.65,68.06
Wenzel WGT600,2220,0.344,6.462,0.864,1153.473,53.4,68.6
Wenzel WGT500 2,787,0.895,15.362,2.304,1108.863,51.34,56.84
P40 1,2607,0.255,6.482,0.669,1079.311,49.97,47.66
Wenzel WGT500,2234,0.257,5.84,0.721,1037.071,48.01,56.2
P65,711,0.41,9.414,1.57,824.678,38.18,36.52
Zeiss 1,1330,0.103,2.278,0.537,577.11,26.72,64.84
Zeiss 14,272,0.516,10.502,2.503,540.511,25.02,38.88
Zeiss 15,367,0.074,1.459,0.917,309.384,14.32,24.35
Ytmatare,146,0.008,0.362,0.387,55.383,2.56,39.95
Konturograf,44,0.0,0.0,0.801,35.241,1.63,8.0
Konturograf 2,50,0.0,0.0,0.338,16.89,0.78,4.19
Zeiss 12,17,0.0,0.0,0.891,15.147,0.7,0.94
